0, 0.142342,0.178022,0.052173,0.073474,0.032644,0.012461,0.039045,0.009631,0.023340
0, 0.157026,0.177020,0.083816,0.057530,0.039416,0.017583,0.011594,0.012210,0.012440
0, 0.173618,0.185346,0.058258,0.043326,0.047800,0.023098,0.023792,0.011152,0.007581
0, 0.636902,0.224248,0.192660,0.066906,0.064606,0.020069,0.015655,0.030787,0.015238
0, 0.358414,0.180963,0.111263,0.140820,0.069138,0.044489,0.029797,0.012410,0.031556
0, 0.299313,0.314042,0.051885,0.083029,0.093589,0.025000,0.021725,0.041813,0.020463
0, 0.226443,0.210507,0.058078,0.084847,0.032596,0.027067,0.026162,0.017343,0.011855
0, 0.256735,0.219978,0.056921,0.093237,0.020218,0.030908,0.015064,0.012913,0.008959
0, 0.262142,0.296075,0.032319,0.068451,0.033677,0.006337,0.044923,0.014642,0.011998
0, 0.304560,0.273929,0.141087,0.063696,0.074107,0.054888,0.060422,0.023316,0.017042
